"time","valueA","valueB","year"
"5450","466","2433","2001"
"5829","493","2433",""
"5653","1391","2433",""
"6483","1391","2433",""
"6762","2018","2433",""
"7554","2433","2433","2006"
"7837","","2433",""
"8117","","2740",""
"8049","","2736",""
"9463","","2739",""
"11288","","2739","2011"
"10930","3001","3001",""
"11216","3040","3040",""
"11380","3067","3067",""
"9708","3023","3023",""
"10034","2924","2924","2016"
"11057","3949","3949",""
"10461","3915","3915",""
"11462","4293","4293","2019"
